SEASON,NATURE,StormCount
1985,ET,7
1985,SS,1
1985,TS,36
1986,ET,3
1986,NR,3
1986,SS,2
1986,TS,28
1987,DS,1
1987,ET,5
1987,NR,2
1987,TS,34
1988,DS,2
1988,ET,5
1988,NR,1
1988,TS,40
1989,ET,4
1989,NR,4
1989,TS,40
1990,DS,1
1990,ET,6
1990,NR,1
1990,SS,3
1990,TS,41
1991,DS,1
1991,ET,7
1991,SS,2
1991,TS,27
1992,ET,5
1992,NR,4
1992,SS,1
1992,TS,40
1993,ET,4
1993,NR,2
1993,TS,27
1994,NR,1
1994,SS,1
1994,TS,30
1995,ET,10
1995,NR,1
1995,TS,32
1996,DS,1
1996,ET,8
1996,TS,26
1997,DS,1
1997,ET,9
1997,NR,1
1997,SS,1
1997,TS,28
1998,DS,1
1998,ET,9
1998,NR,5
1998,TS,34
1999,DS,1
1999,ET,5
1999,NR,1
1999,TS,29
2000,DS,1
2000,ET,7
2000,NR,3
2000,SS,4
2000,TS,39
2001,DS,5
2001,ET,8
2001,NR,2
2001,SS,4
2001,TS,37
2002,DS,12
2002,ET,4
2002,SS,2
2002,TS,31
2003,DS,16
2003,ET,10
2003,NR,1
2003,SS,2
2003,TS,37
2004,DS,16
2004,ET,12
2004,SS,3
2004,TS,32
2005,DS,24
2005,ET,12
2005,NR,5
2005,SS,4
2005,TS,46
2006,DS,18
2006,ET,8
2006,NR,1
2006,TS,31
2007,DS,22
2007,ET,5
2007,NR,2
2007,SS,5
2007,TS,32
2008,DS,22
2008,ET,7
2008,SS,1
2008,TS,35
2009,DS,22
2009,ET,3
2009,MX,9
2009,TS,31
2010,DS,27
2010,ET,7
2010,NR,2
2010,SS,1
2010,TS,32
2011,DS,30
2011,ET,8
2011,NR,2
2011,SS,2
2011,TS,33
2012,DS,32
2012,ET,7
2012,SS,2
2012,TS,36
2013,DS,27
2013,ET,3
2013,NR,4
2013,SS,3
2013,TS,33
2014,DS,30
2014,ET,4
2014,NR,3
2014,SS,1
2014,TS,31
2015,DS,28
2015,ET,4
2015,SS,1
2015,TS,37
2016,DS,28
2016,ET,9
2016,SS,2
2016,TS,37
2017,DS,29
2017,ET,7
2017,NR,7
2017,SS,1
2017,TS,38
2018,DS,29
2018,ET,9
2018,NR,3
2018,SS,7
2018,TS,40
2019,DS,26
2019,ET,11
2019,NR,5
2019,SS,4
2019,TS,37
2020,DS,37
2020,ET,16
2020,NR,3
2020,SS,3
2020,TS,51
